1 3 12 0
0 298 5 0
0 6 1 1
0 40 1 1
0 1032 112 1
0 199 78 35
2 6 1 1
0 346 191 62
0 40 1 1
1 35 7 0
0 8 11 5
1 35 7 0
1 35 7 0
1 3 12 0
1 3 12 0
0 143 96 52
0 143 96 52
0 40 1 1
0 6 1 1
0 64 1 1
0 3 3 0
0 545 3 0
0 1 2 0
1 3 12 0
0 6 1 1
0 587 1 1
0 6 1 1
0 30 36 17
1 35 7 0
1 3 12 0
1 2 0 0
1 35 7 0
0 586 1 1
1 3 12 0
1 10 2 0
0 584 112 1
1 22 1 1
1 3 12 0
0 6 1 1
1 6 1 1
1 35 7 0
0 3 12 0
1 35 7 0
5 346 191 62
1 35 7 0
0 164 1 1
1 6 1 1
1 40 1 1
0 44 43 24
1 35 7 0
1 3 12 0
1 3 12 0
1 3 12 0
0 17 10 0
0 22 1 1
0 40 1 1
0 6 1 1
8 -1 25 0
0 22 1 1
0 6 1 1
0 271 171 3
0 3 12 0
0 3 12 0
0 35 7 0
1 35 7 0
1 2 0 0
0 22 1 1
1 40 1 1
1 3 12 0
1 3 12 0
1 35 7 0
1 35 7 0
1 3 12 0
1 3 12 0
1 35 7 0
1 35 7 0
0 22 1 1
5 346 191 62
1 35 7 0
1 3 12 0
0 40 1 1
1 3 12 0
1 40 1 1
0 68 61 29
0 6 1 1
1 3 12 0
1 35 7 0
0 6 1 1
1 35 7 0
0 113 60 0
0 3 12 0
1 3 12 0
0 6 1 1
1 35 7 0
1 35 7 0
1 3 12 0
1 3 12 0
0 6 1 1
0 1063 1 1
0 3 3 0
1 3 12 0
1 35 7 0
1 6 1 1
0 6 1 1
1 35 7 0
0 734 112 1
1 35 7 0
1 35 7 0
1 3 12 0
2 653 51 0
0 6 1 1
1 67 1 1
1 72 0 0
0 6 1 1
1 -1 19 7
1 72 0 0
1 5 0 0
0 0 4 2
0 26 28 14
0 26 28 14
0 26 28 14
0 26 28 14
0 26 28 14
0 26 28 14
1 5 0 0
1 3 12 0
1 35 7 0
1 3 12 0
1 35 7 0
0 27 32 11
0 27 32 11
0 485 236 11
2 159 105 49
0 3 12 0
0 3 12 0
0 35 7 0
0 35 7 0
0 9 9 0
0 27 32 11
1 6 1 1
0 257 163 74
1 3 12 0
1 35 7 0
1 35 7 0
1 3 12 0
1 3 12 0
0 40 1 1
0 93 34 0
2 232 0 0
0 550 113 54
0 94 77 40
0 47 45 23
2 52 23 0
0 235 0 0
0 16 16 0
13 1 2 0
0 46 44 3
0 6 1 1
2 58 52 8
0 20 26 15
0 13 15 3
0 108 1 1
0 -1 0 0
0 4 8 0
0 139 9 0
3 237 154 76
0 -1 29 12
0 0 4 2
0 285 175 23
0 61 33 0
0 69 1 1
0 13 15 3
0 4 8 0
0 -1 0 0
1 -1 178 21
0 66 62 31
0 152 0 0
4 137 94 50
0 207 139 51
0 140 31 0
0 -1 3 0
0 182 64 0
0 32 37 0
0 7 6 0
0 17 10 0
0 36 2 0
0 200 132 64
1 2 0 0
1 2 0 0
1 2 0 0
0 16 16 0
1 40 1 1
1 721 360 118
0 327 65 0
0 97 0 0
0 42 3 0
1 0 4 2
1 2 0 0
0 7 6 0
33 62 0 0
0 208 127 22
0 788 363 17
8 282 7 0
4 58 52 8
5 89 73 38
2 19 18 0
0 19 18 0
0 4 8 0
0 32 37 0
0 61 33 0
0 61 33 0
0 7 6 0
0 61 33 0
0 4 8 0
0 65 55 0
0 8 11 5
0 0 4 2
0 55 49 28
1 105 59 6
0 29 13 4
18 898 340 16
18 240 161 16
2 0 4 2
0 17 10 0
0 78 47 0
0 17 10 0
0 14 7 0
0 27 32 11
0 27 32 11
0 24 21 0
0 11 5 0
0 6 1 1
1 3 12 0
0 38 40 22
0 19 18 0
0 1 2 0
0 740 12 0
0 34 24 21
1 972 41 6
0 107 14 0
0 12 17 9
0 0 4 2
0 244 3 0
0 8 11 5
0 570 12 0
0 48 42 16
0 50 10 0
0 333 2 0
0 34 24 21
2 146 99 53
0 0 4 2
0 0 4 2
0 0 4 2
0 0 4 2
0 0 4 2
0 100 80 30
0 257 163 74
0 257 163 74
0 127 91 39
0 -1 29 12
0 0 4 2
0 930 180 32
0 170 118 60
0 -1 101 0
0 518 220 14
0 26 28 14
0 -1 7 0
0 -1 29 12
0 4 8 0
0 27 32 11
1 297 14 0
0 141 5 0
0 99 85 42
1 182 64 0
1 6 1 1
0 230 6 0
0 21 0 0
1 2 0 0
1 2 0 0
1 2 0 0
1 2 0 0
1 76 67 32
1 2 0 0
1 2 0 0
1 2 0 0
1 2 0 0
1 76 67 32
1 2 0 0
1 76 67 32
1 2 0 0
1 2 0 0
1 76 67 32
1 2 0 0
0 76 67 32
2 45 0 0
0 8 11 5
0 0 4 2
0 0 4 2
0 0 4 2
0 0 4 2
0 0 4 2
0 0 4 2
0 0 4 2
0 0 4 2
0 20 26 15
